t,variable,AS,FC,base
1,beta_Q_2,0.989795918369411,0.989795918369411,0.989795918369411
1,beta_Q_3,0.989587671804927,0.989587671804927,0.989587671804927
1,beta_Q_4,0.989375175310705,0.989375175310705,0.989375175310705
1,beta_Q_5,0.989158342153449,0.989158342153449,0.989158342153449
1,beta_Q_6,0.988937083829804,0.988937083829804,0.988937083829804
1,beta_Q_7,0.988711310030232,0.988711310030232,0.988711310030232
1,beta_Q_8,0.988480928602147,0.988480928602147,0.988480928602147
1,beta_Q_9,0.988245845512302,0.988245845512302,0.988245845512302
1,beta_Q_10,0.988005964808288,0.988005964808288,0.988005964808288
1,beta_Q_11,0.987761188579999,0.987761188579999,0.987761188579999
1,beta_Q_12,0.987511416939282,0.987511416939282,0.987511416939282
1,beta_Q_13,0.987256547875766,0.987256547875766,0.987256547875766
1,beta_Q_14,0.986996478131181,0.986996478131181,0.986996478131181
1,beta_Q_15,0.986731099457306,0.986731099457306,0.986731099457306
1,beta_Q_16,0.986460305522961,0.986460305522961,0.986460305522961
1,beta_Q_17,0.986183985227668,0.986183985227668,0.986183985227668
1,h_Q_2,98,98,98
1,h_Q_3,96.04,96.04,96.04
1,h_Q_4,94.1192,94.1192,94.1192
1,h_Q_5,92.236816,92.236816,92.236816
1,h_Q_6,90.39207968,90.39207968,90.39207968
1,h_Q_7,88.5842380864,88.5842380864,88.5842380864
1,h_Q_8,86.812553324672,86.812553324672,86.812553324672
1,h_Q_9,85.0763022581786,85.0763022581786,85.0763022581786
1,h_Q_10,83.374776213015,83.374776213015,83.374776213015
1,h_Q_11,81.7072806887547,81.7072806887547,81.7072806887547
1,h_Q_12,80.0731350749796,80.0731350749796,80.0731350749796
1,h_Q_13,78.47167237348,78.47167237348,78.47167237348
1,h_Q_14,76.9022389260104,76.9022389260104,76.9022389260104
1,h_Q_15,75.3641941474902,75.3641941474902,75.3641941474902
1,h_Q_16,73.8569102645404,73.8569102645404,73.8569102645404
1,h_Q_17,72.3797720592496,72.3797720592496,72.3797720592496
1,P_Q_1,0.3,0.3,0.3
1,P_Q_2,0.296938775510823,0.296938775510823,0.296938775510823
1,P_Q_3,0.293846951526361,0.293846951526361,0.293846951526361
1,P_Q_4,0.29072487918091,0.29072487918091,0.29072487918091
1,P_Q_5,0.287572939513351,0.287572939513351,0.287572939513351
1,P_Q_6,0.284391544190698,0.284391544190698,0.284391544190698
1,P_Q_7,0.281181136218306,0.281181136218306,0.281181136218306
1,P_Q_8,0.277942190634478,0.277942190634478,0.277942190634478
1,P_Q_9,0.274675215187111,0.274675215187111,0.274675215187111
1,P_Q_10,0.271380750989866,0.271380750989866,0.271380750989866
1,P_Q_11,0.268059373155482,0.268059373155482,0.268059373155482
1,P_Q_12,0.264711691408626,0.264711691408626,0.264711691408626
1,P_Q_13,0.261338350642435,0.261338350642435,0.261338350642435
1,P_Q_14,0.257940031684695,0.257940031684695,0.257940031684695
1,P_Q_15,0.254517451058292,0.254517451058292,0.254517451058292
1,P_Q_16,0.251071362531888,0.251071362531888,0.251071362531888
1,P_Q_17,0.247602556878238,0.247602556878238,0.247602556878238
1,L_Q,3.29869427196192,3.30363996315511,3.24847433142102
1,pi_Q,0.3,0.3,0.3
1,beta_NQ_2,0.989795918369411,0.989795918369411,0.989795918369411
1,beta_NQ_3,0.989587671804927,0.989587671804927,0.989587671804927
1,beta_NQ_4,0.989375175310705,0.989375175310705,0.989375175310705
1,beta_NQ_5,0.989158342153449,0.989158342153449,0.989158342153449
1,beta_NQ_6,0.988937083829804,0.988937083829804,0.988937083829804
1,beta_NQ_7,0.988711310030232,0.988711310030232,0.988711310030232
1,beta_NQ_8,0.988480928602147,0.988480928602147,0.988480928602147
1,beta_NQ_9,0.988245845512302,0.988245845512302,0.988245845512302
1,beta_NQ_10,0.988005964808288,0.988005964808288,0.988005964808288
1,beta_NQ_11,0.987761188579999,0.987761188579999,0.987761188579999
1,beta_NQ_12,0.987511416939282,0.987511416939282,0.987511416939282
1,beta_NQ_13,0.987256547875766,0.987256547875766,0.987256547875766
1,beta_NQ_14,0.986996478131181,0.986996478131181,0.986996478131181
1,beta_NQ_15,0.986731099457306,0.986731099457306,0.986731099457306
1,beta_NQ_16,0.986460305522961,0.986460305522961,0.986460305522961
1,beta_NQ_17,0.986183985227668,0.986183985227668,0.986183985227668
1,h_NQ_2,98,98,98
1,h_NQ_3,96.04,96.04,96.04
1,h_NQ_4,94.1192,94.1192,94.1192
1,h_NQ_5,92.236816,92.236816,92.236816
1,h_NQ_6,90.39207968,90.39207968,90.39207968
1,h_NQ_7,88.5842380864,88.5842380864,88.5842380864
1,h_NQ_8,86.812553324672,86.812553324672,86.812553324672
1,h_NQ_9,85.0763022581786,85.0763022581786,85.0763022581786
1,h_NQ_10,83.374776213015,83.374776213015,83.374776213015
1,h_NQ_11,81.7072806887547,81.7072806887547,81.7072806887547
1,h_NQ_12,80.0731350749796,80.0731350749796,80.0731350749796
1,h_NQ_13,78.47167237348,78.47167237348,78.47167237348
1,h_NQ_14,76.9022389260104,76.9022389260104,76.9022389260104
1,h_NQ_15,75.3641941474902,75.3641941474902,75.3641941474902
1,h_NQ_16,73.8569102645404,73.8569102645404,73.8569102645404
