mod,period,variable,value
base,1,beta_Q_2,0.973436404874763
base,1,beta_Q_3,0.970539000001623
base,1,beta_Q_4,0.965744200006298
base,1,beta_Q_5,0.961176300029427
base,1,beta_Q_6,0.955116300619925
base,1,beta_Q_7,0.940183999984989
base,1,beta_Q_8,0.909499218945487
base,1,beta_Q_9,0.85988771100122
base,1,beta_Q_10,0.781753818094209
base,1,beta_Q_11,0.658329466557867
base,1,beta_Q_12,0.512809028093422
base,1,beta_Q_13,0.344799901709008
base,1,beta_Q_14,0.210284003873888
base,1,beta_Q_15,0.118657324974081
base,1,beta_Q_16,0.0591105026749442
base,1,beta_Q_17,0.031131000636637
base,1,h_Q_2,37.64549986
base,1,h_Q_3,33.94317912
base,1,h_Q_4,29.19213681
base,1,h_Q_5,25.75746258
base,1,h_Q_6,22.27980314
base,1,h_Q_7,16.7179349964
base,1,h_Q_8,11.049626084672
base,1,h_Q_9,7.13713214817855
base,1,h_Q_10,4.58198126301498
base,1,h_Q_11,2.92679557875468
base,1,h_Q_12,2.05258307497959
base,1,h_Q_13,1.52625129347999
base,1,h_Q_14,1.26627752601038
base,1,h_Q_15,1.13462803749019
base,1,h_Q_16,1.06282406454038
base,1,h_Q_17,1.03213127924955
base,1,P_Q_1,0.2522852124
base,1,P_Q_2,0.0592788505108232
base,1,P_Q_3,0.0529788315263615
base,1,P_Q_4,0.0516187991809102
base,1,P_Q_5,0.0480152225133509
base,1,P_Q_6,0.042674493190698
base,1,P_Q_7,0.0407094252183056
base,1,P_Q_8,0.0361254806344777
base,1,P_Q_9,0.0316353121871109
base,1,P_Q_10,0.0252264559898656
base,1,P_Q_11,0.0186772111554823
base,1,P_Q_12,0.0112496894086261
base,1,P_Q_13,0.00531388564243535
base,1,P_Q_14,0.00164097968469545
base,1,P_Q_15,0.000304585058292062
base,1,P_Q_16,3.26525318881665e-05
base,1,P_Q_17,2.01287823792251e-06
base,1,L_Q,0.751657247757596
base,1,beta_NQ_2,0.939491000019456
base,1,beta_NQ_3,0.931619200148016
base,1,beta_NQ_4,0.925826700715022
base,1,beta_NQ_5,0.916842509905461
base,1,beta_NQ_6,0.905218099976406
base,1,beta_NQ_7,0.883457900039542
base,1,beta_NQ_8,0.843435236949881
base,1,beta_NQ_9,0.785066520379141
base,1,beta_NQ_10,0.701200501908016
base,1,beta_NQ_11,0.582111699569906
base,1,beta_NQ_12,0.433853272111351
base,1,beta_NQ_13,0.278824341886696
base,1,beta_NQ_14,0.164751615202972
base,1,beta_NQ_15,0.0914522727890728
base,1,beta_NQ_16,0.0448453010253704
base,1,beta_NQ_17,0.0234374042852502
base,1,h_NQ_2,16.52646714
base,1,h_NQ_3,14.62398802
base,1,h_NQ_4,13.48194027
base,1,h_NQ_5,12.02537354
base,1,h_NQ_6,10.5505376
base,1,h_NQ_7,8.58059018639999
base,1,h_NQ_8,6.387123554672
base,1,h_NQ_9,4.65260184817856
base,1,h_NQ_10,3.34672581301498
base,1,h_NQ_11,2.39298395875468
base,1,h_NQ_12,1.76632258497959
base,1,h_NQ_13,1.38662464347999
base,1,h_NQ_14,1.19724704601039
base,1,h_NQ_15,1.10064773749018
base,1,h_NQ_16,1.04695082454037
base,1,h_NQ_17,1.02399989924956
base,1,P_NQ_1,0.5886654956
base,1,P_NQ_2,0.138317317858587
base,1,P_NQ_3,0.123617274894843
base,1,P_NQ_4,0.120443865422124
base,1,P_NQ_5,0.112035520531152
base,1,P_NQ_6,0.0995738157782948
base,1,P_NQ_7,0.0949886588427129
base,1,P_NQ_8,0.0842927891471142
base,1,P_NQ_9,0.0738157284365917
base,1,P_NQ_10,0.0588617313096862
base,1,P_NQ_11,0.0435801576961252
base,1,P_NQ_12,0.026249274286794
base,1,P_NQ_13,0.0123990668323489
base,1,P_NQ_14,0.00382895393095584
base,1,P_NQ_15,0.000710697469347821
base,1,P_NQ_16,7.6189241072e-05
base,1,P_NQ_17,4.69538255498669e-06
base,1,L_NQ,1.32486257678101
base,1,pi_Q,0.3
base,1,pi_NQ,0.7
base,1,y,0.287537546460131
base,1,nbar,5.37545885915072
base,1,Ptot,2.25923033237187
base,1,Pret,0.208158238498408
base,1,H,102.937051194269
base,1,cCheck,0
base,1,shareq,0.3
base,1,A,0.088593872
base,1,A_Q,2
base,1,xpop,0.840950708
base,1,h_Q_1,100
base,1,mig_Q_2,-0.237659925
base,1,med_Q_2,-60.35450014
base,1,mig_Q_3,-0.24086812
base,1,med_Q_3,-62.09682088
base,1,mig_Q_4,-0.23910608
base,1,med_Q_4,-64.92706319
base,1,mig_Q_5,-0.239557717
base,1,med_Q_5,-66.47935342
base,1,mig_Q_6,-0.241717051
base,1,med_Q_6,-68.11227654
base,1,mig_Q_7,-0.240471711
base,1,med_Q_7,-71.86630309
base,1,mig_Q_8,-0.24181671
base,1,med_Q_8,-75.76292724
base,1,mig_Q_9,-0.243039903
base,1,med_Q_9,-77.93917011
base,1,mig_Q_10,-0.246154295
