variable,value,model
k_Q_1,0,base
k_Q_2,-0.33200318714186,base
k_Q_3,-0.104225722203813,base
k_Q_4,0.14997645483816,base
k_Q_5,0.425870528347458,base
k_Q_6,0.721114919575054,base
k_Q_7,1.03438411950546,base
k_Q_8,1.36486422608865,base
k_Q_9,1.71202377380153,base
k_Q_10,2.07549364251295,base
k_Q_11,1.98737984215192,base
k_Q_12,1.86257701512612,base
k_Q_13,1.69579735017819,base
k_Q_14,1.48113517980463,base
k_Q_15,1.21200048371833,base
k_Q_16,0.881045479457165,base
k_Q_17,0.480083589365514,base
c_Q_1,0.251205384951973,base
c_Q_2,0.266332610334766,base
c_Q_3,0.282311365352539,base
c_Q_4,0.299184513623358,base
c_Q_5,0.316996643516977,base
c_Q_6,0.33579409934274,base
c_Q_7,0.355625009196089,base
c_Q_8,0.37653930900036,base
c_Q_9,0.398588762244624,base
c_Q_10,0.421826974882656,base
c_Q_11,0.446309404793029,base
c_Q_12,0.472093365226612,base
c_Q_13,0.499238021513448,base
c_Q_14,0.527804380361889,base
c_Q_15,0.557855270979299,base
c_Q_16,0.589455317219721,base
c_Q_17,0.622670899920038,base
lab_Q_1,0,base
lab_Q_2,0.906291537919464,base
lab_Q_3,0.905950664013523,base
lab_Q_4,0.904959410631871,base
lab_Q_5,0.903651478705872,base
lab_Q_6,0.90217187656559,base
lab_Q_7,0.900598796505922,base
lab_Q_8,0.898981008748449,base
lab_Q_9,0.89735238078843,base
w_Q_1,0,base
w_Q_2,0.556954130369221,base
w_Q_3,0.578072839657352,base
w_Q_4,0.59305680235605,base
w_Q_5,0.604679266769113,base
w_Q_6,0.614175511644181,base
w_Q_7,0.622204472284047,base
w_Q_8,0.629159474342879,base
w_Q_9,0.635294220932312,base
beta_Q_2,0.989795918367347,base
beta_Q_3,0.989587671803415,base
beta_Q_4,0.989375175309607,base
beta_Q_5,0.989158342152661,base
beta_Q_6,0.988937083829246,base
beta_Q_7,0.988711310029842,base
beta_Q_8,0.98848092860188,base
beta_Q_9,0.988245845512122,base
beta_Q_10,0.988005964808288,base
beta_Q_11,0.987761188579886,base
beta_Q_12,0.987511416918251,base
beta_Q_13,0.987256547875766,base
beta_Q_14,0.986996477424251,base
beta_Q_15,0.986731099412501,base
beta_Q_16,0.986460305522961,base
beta_Q_17,0.986183985227511,base
h_Q_2,98,base
h_Q_3,96.04,base
h_Q_4,94.1192,base
h_Q_5,92.236816,base
h_Q_6,90.39207968,base
h_Q_7,88.5842380864,base
h_Q_8,86.812553324672,base
h_Q_9,85.0763022581786,base
h_Q_10,83.374776213015,base
h_Q_11,81.7072806887547,base
h_Q_12,80.0731350749796,base
h_Q_13,78.47167237348,base
h_Q_14,76.9022389260104,base
h_Q_15,75.3641941474902,base
h_Q_16,73.8569102645404,base
h_Q_17,72.3797720592496,base
lamda_Q_1,3.54389151894091,base
lamda_Q_2,3.34260474175926,base
lamda_Q_3,3.15341415989391,base
lamda_Q_4,2.97557067197915,base
lamda_Q_5,2.80837253592726,base
lamda_Q_6,2.65116233267475,base
lamda_Q_7,2.50332412655816,base
lamda_Q_8,2.36428080949525,base
lamda_Q_9,2.23349161698779,base
lamda_Q_10,2.11044980474794,base
lamda_Q_11,1.99468047548388,base
lamda_Q_12,1.88573854606567,base
lamda_Q_13,1.78320684593319,base
lamda_Q_14,1.68669433820567,base
lamda_Q_15,1.59583445551224,base
lamda_Q_16,1.51028354308425,base
lamda_Q_17,1.42971940213851,base
pen_Q_10,0.157225751132845,base
pen_Q_11,0.157225751132845,base
pen_Q_12,0.157225751132845,base
pen_Q_13,0.157225751132845,base
pen_Q_14,0.157225751132845,base
pen_Q_15,0.157225751132845,base
pen_Q_16,0.157225751132845,base
pen_Q_17,0.157225751132845,base
P_Q_1,0.538581149206332,base
P_Q_2,0.533085423194023,base
P_Q_3,0.527534762810911,base
P_Q_4,0.521929798437958,base
P_Q_5,0.516271214142962,base
P_Q_6,0.510559748979525,base
P_Q_7,0.504796198262054,base
P_Q_8,0.498981414812774,base
P_Q_9,0.493116310176484,base
P_Q_10,0.487201855798621,base
P_Q_11,0.481239084161972,base
P_Q_12,0.47522908987723,base
P_Q_13,0.469173030722336,base
P_Q_14,0.463072128625406,base
P_Q_15,0.456927670585834,base
P_Q_16,0.450741009527997,base
P_Q_17,0.444513565081791,base
welf_Q_1,-19.840286971372,base
welf_Q_2,-15.0616153789797,base
welf_Q_3,-13.8360934146376,base
welf_Q_4,-12.6236486645044,base
welf_Q_5,-11.4257617245841,base
welf_Q_6,-10.2430786827568,base
welf_Q_7,-9.07587254092562,base
welf_Q_8,-7.92421125365305,base
welf_Q_9,-6.78803304698701,base
welf_Q_10,-5.66718478695678,base
welf_Q_11,-4.86784961270352,base
welf_Q_12,-4.09350014487842,base
welf_Q_13,-3.34460286465844,base
welf_Q_14,-2.62164794703127,base
welf_Q_15,-1.92515123362812,base
welf_Q_16,-1.25565637390027,base
welf_Q_17,-0.613737149726076,base
